[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 50000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 5000
[Epoch 1] Step 4550/6250 Loss: 0.0500 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4600/6250 Loss: 0.0530 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4650/6250 Loss: 0.0500 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4700/6250 Loss: 0.0506 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4750/6250 Loss: 0.0524 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4800/6250 Loss: 0.0506 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4850/6250 Loss: 0.0490 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4900/6250 Loss: 0.0476 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 4950/6250 Loss: 0.0474 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5000/6250 Loss: 0.0491 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5050/6250 Loss: 0.0470 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5100/6250 Loss: 0.0465 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5150/6250 Loss: 0.0461 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5200/6250 Loss: 0.0468 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5250/6250 Loss: 0.0442 | 0.06s/step | ETA 00:01m
[Epoch 1] Step 5300/6250 Loss: 0.0455 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5350/6250 Loss: 0.0466 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5400/6250 Loss: 0.0471 | 0.06s/step | ETA 00:00m
[Epoch 1] Step 5450/6250 Loss: 0.0458 | 0.06s/step | ETA 00:00m
