[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 200000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 20000
[Resume] Loaded from /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_epoch_2.pth (epoch 2)
[Epoch 3] Step 13200/25000 Loss: 0.0357 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13250/25000 Loss: 0.0380 | 0.07s/step | ETA 00:14m
[Epoch 3] Step 13300/25000 Loss: 0.0383 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13350/25000 Loss: 0.0368 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13400/25000 Loss: 0.0359 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13450/25000 Loss: 0.0350 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13500/25000 Loss: 0.0374 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13550/25000 Loss: 0.0350 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13600/25000 Loss: 0.0368 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13650/25000 Loss: 0.0359 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13700/25000 Loss: 0.0373 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13750/25000 Loss: 0.0363 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13800/25000 Loss: 0.0423 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13850/25000 Loss: 0.0409 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13900/25000 Loss: 0.0380 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 13950/25000 Loss: 0.0372 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 14000/25000 Loss: 0.0378 | 0.07s/step | ETA 00:13m
[Epoch 3] Step 14050/25000 Loss: 0.0332 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14100/25000 Loss: 0.0346 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14150/25000 Loss: 0.0361 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14200/25000 Loss: 0.0382 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14250/25000 Loss: 0.0380 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14300/25000 Loss: 0.0348 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14350/25000 Loss: 0.0365 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14400/25000 Loss: 0.0352 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14450/25000 Loss: 0.0335 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14500/25000 Loss: 0.0344 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14550/25000 Loss: 0.0334 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14600/25000 Loss: 0.0365 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14650/25000 Loss: 0.0356 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14700/25000 Loss: 0.0375 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14750/25000 Loss: 0.0356 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14800/25000 Loss: 0.0366 | 0.07s/step | ETA 00:12m
[Epoch 3] Step 14850/25000 Loss: 0.0333 | 0.07s/step | ETA 00:11m
